"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"1","70","0","70"
"2","127","0","127"
"3","123","0","123"
"4","122","0","122"
"5","130","0","130"
"6","125","0","125"
"7","123","0","123"
"8","124","0","124"
"9","127","0","127"
"10","87","0","87"
"11","162","0","162"
"12","126","0","126"
"13","123","0","123"
"14","123","0","123"
"15","130","0","130"
"16","123","0","123"
"17","124","0","124"
"18","121","0","121"
"19","125","0","125"
"20","126","0","126"
"21","124","0","124"
"22","127","0","127"
"23","125","0","125"
"24","126","0","126"
"25","126","0","126"
"26","126","0","126"
"27","128","0","128"
"28","121","0","121"
"29","129","0","129"
"30","126","0","126"
"31","126","0","126"
"32","125","0","125"
"33","123","0","123"
"34","20","0","20"
